id;name;release_day;image;brief
1;Versatile Exclusive Moroccan Dirham;71227;Plastic;Computers Personal Loan Account Berkshire
2;Home;34507;deposit Canadian Dollar Lebanon;Designer Persistent
3;Handmade 24/7 Re-contextualized;80313;Point Orchestrator;Solomon Islands Licensed
4;Gloves Bedfordshire Argentine Peso;85835;neural-net red;Buckinghamshire Future-proofed deposit
5;Quality;39757;Cambridgeshire hacking;bricks-and-clicks Concrete Global
6;Fiji Dollar Profound Bacon;98216;Borders content-based;Tasty Customer Human
7;pink even-keeled;70035;programming SCSI drive;invoice Unbranded Cheese
8;New Zealand Dollar Alabama transform;94013;Supervisor clear-thinking;Latvia
9;Ports Manager Fish;1807;Bedfordshire;navigate
10;program alarm;30806;Benin Berkshire;dedicated Persevering
